Package	FileName	NumberOfChanges	FileType	LOC
org.junit.tests.assertion	AssertionTest	20	ConcreteClass	486
org.junit.experimental.theories.suppliers	TestedOn	1	Interface	13
org.junit.internal.builders	NullBuilder	2	ConcreteClass	14
org.junit.runner.manipulation	package-info	1	ConcreteClass	7
org.junit.rules	MethodRule	2	Interface	40
org.junit.matchers	JUnitMatchers	24	ConcreteClass	83
org.junit.internal.builders	JUnit3Builder	2	ConcreteClass	21
org.junit.tests.experimental	MatcherTest	2	ConcreteClass	43
org.junit.rules	Verifier	5	ConcreteClass	45
org.junit.internal.matchers	SubstringMatcher	4	AbstractClass	28
junit.framework	TestCase	1	AbstractClass	212
org.junit.internal.runners	ClassRoadie	2	ConcreteClass	79
junit.runner	TestRunListener	1	Interface	19
org.junit.experimental.results	FailureList	3	ConcreteClass	31
org.junit.internal.runners.statements	RunBefores	4	ConcreteClass	30
org.junit.tests.running.classes	ParameterizedTestTest	12	ConcreteClass	216
org.junit.internal.runners	SuiteMethod	2	ConcreteClass	40
org.junit.experimental.results	ResultMatchers	10	ConcreteClass	70
org.junit.tests.experimental	ExperimentalTests	2	ConcreteClass	28
junit.tests.framework	TestImplementorTest	1	ConcreteClass	54
org.junit.tests	ObjectContractTest	3	ConcreteClass	46
org.junit.tests.description	TestDescriptionTest	2	ConcreteClass	11
org.junit.tests.experimental.theories.extendingwithstubs	StubbedTheories	10	ConcreteClass	65
junit.framework	Protectable	1	Interface	14
org.junit.tests.experimental.theories.runner	SuccessfulWithDataPointFields	4	ConcreteClass	204
junit.runner	package-info	1	ConcreteClass	4
org.junit.rules	ExpectedException	9	ConcreteClass	136
org.junit.tests.experimental.max	DescriptionTest	1	ConcreteClass	24
org.junit.runners.model	MultipleFailureException	3	ConcreteClass	60
junit.samples.money	package-info	1	ConcreteClass	4
org.junit.tests.experimental	AssumptionTest	12	ConcreteClass	177
org.junit.runner.notification	StoppedByUserException	1	ConcreteClass	11
org.junit.tests.assertion	EachTest	5	ConcreteClass	13
junit.tests	AllTests	1	ConcreteClass	23
junit.tests.framework	AssertTest	3	ConcreteClass	171
org.junit.internal.builders	SuiteMethodBuilder	2	ConcreteClass	26
org.junit.matchers	package-info	2	ConcreteClass	9
org.junit.tests.running.methods	InheritedTestTest	1	ConcreteClass	31
org.junit.internal.requests	package-info	1	ConcreteClass	6
org.junit.tests.experimental.theories.extendingwithstubs	MethodCall	1	ConcreteClass	54
org.junit	Rule	7	Interface	47
junit.textui	ResultPrinter	1	ConcreteClass	139
org.junit.experimental.theories.internal	AllMembersSupplier	14	ConcreteClass	126
org.junit.tests.running.classes	IgnoreClassTest	4	ConcreteClass	26
junit.tests.framework	OneTestCase	1	ConcreteClass	15
org.junit.experimental.theories	PotentialAssignment	6	AbstractClass	31
org.junit.experimental.theories	DataPoints	1	Interface	9
org.junit	ClassRule	12	Interface	60
junit.tests	WasRun	1	ConcreteClass	15
org.junit.experimental.categories	Categories	20	ConcreteClass	192
junit.tests.framework	ComparisonFailureTest	2	ConcreteClass	47
junit.tests.framework	DoublePrecisionAssertTest	1	ConcreteClass	55
org.junit.internal.runners	JUnit38ClassRunner	14	ConcreteClass	158
org.junit.tests.junit3compatibility	OldTests	1	ConcreteClass	11
org.junit.internal.runners.statements	FailOnTimeout	4	ConcreteClass	46
org.junit.runner.manipulation	Sorter	6	ConcreteClass	46
org.junit.runner	Describable	3	Interface	12
org.junit.experimental.max	MaxCore	39	ConcreteClass	169
org.junit.tests.experimental.categories	CategoriesAndParameterizedTest	1	ConcreteClass	107
org.junit.tests.junit3compatibility	AllTestsTest	5	ConcreteClass	81
junit.runner	BaseTestRunner	2	AbstractClass	318
org.junit.tests.experimental.theories.runner	WithExtendedParameterSources	1	ConcreteClass	146
junit.runner	Version	53	ConcreteClass	18
org.junit.tests.junit3compatibility	ForwardCompatibilityTest	4	ConcreteClass	222
org.junit.runner.manipulation	NoTestsRemainException	1	ConcreteClass	8
org.junit.tests.deprecated	JUnit4ClassRunnerTest	3	ConcreteClass	54
org.junit.experimental.theories	Theories	31	ConcreteClass	199
org.junit.tests.description	SuiteDescriptionTest	2	ConcreteClass	35
org.junit.experimental.theories	Theory	1	Interface	12
org.junit.tests.assertion	MultipleFailureExceptionTest	1	ConcreteClass	60
